reference,reader,object,cycle_number,cycle,event_time,pre_roi_fraction,peak_roi_fraction,peak_full_domain_fraction,peak_outside_roi_fraction,recovery_fraction,peak_time_index,recall,precision,mass_ratio,reference_event_time,timing_absolute,support_window,support_measure,teacher_active_target_mass,predicted_active_target_mass,true_positive_target_mass,reference_event_present,false_positive_event,false_negative_target_mass,false_positive_target_mass,whole_trajectory_strict
spatial,coarse,shorter/43/D_E,1,1,0.23711000000000002,0.0,0.07050619834710743,0.021328125,0.0,1.0,146,0.9386306388825284,0.9041579353700232,1.038126860544997,0.2409,0.003789999999999988,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006823437499999996,0.0007083593749999998,0.0006404687499999999,True,False,4.18749999999997e-05,6.789062499999992e-05,False
spatial,coarse,shorter/43/D_E,2,2,1.2217,0.0,0.09659090909090909,0.02921875,0.0,1.0,623,0.8009885535900105,0.8407208519159003,0.9527402011793276,1.2293,0.007600000000000051,"[1.01, 1.36]",global trapezoid time times cell volume,0.0009009374999999999,0.0008583593750000004,0.0007216406250000001,True,False,0.00017929687499999988,0.00013671875000000034,False
spatial,coarse,shorter/43/F,1,1,0.24015714285714285,0.0,0.06947314049586777,0.021015625,0.0,1.0,145,0.9329058850469432,0.9357987825887218,0.9969086329287842,0.2409,0.0007428571428571562,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006823437499999996,0.0006802343749999996,0.0006365624999999998,True,False,4.5781249999999815e-05,4.3671874999999874e-05,False
spatial,coarse,shorter/43/F,2,2,,0.0,0.0,0.0,0.0,0.0,404,0.0,0.0,0.0,1.2293,,"[1.01, 1.36]",global trapezoid time times cell volume,0.0009009374999999999,0.0,0.0,True,False,0.0009009374999999999,0.0,False
spatial,coarse,shorter/B_E,1,1,0.2558714285714286,0.0,0.05965909090909091,0.018046875,0.0,1.0,135,0.7991756354476759,0.9797866367209431,0.8156629264941611,0.2409,0.01497142857142858,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006823437499999996,0.0005565624999999999,0.0005453124999999998,True,False,0.00013703124999999978,1.1250000000000084e-05,False
spatial,coarse,shorter/B_E,2,2,,0.0,0.0,0.0,0.0,0.0,404,0.0,0.0,0.0,1.2293,,"[1.01, 1.36]",global trapezoid time times cell volume,0.0009009374999999999,0.0,0.0,True,False,0.0009009374999999999,0.0,False
spatial,fine,shorter/29/E,1,1,0.23761000000000002,0.0,0.06740702479338843,0.020390625,0.0,1.0,152,0.9203114266086558,0.9259301923741499,0.9939317609342804,0.2409,0.0032899999999999874,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006823437499999996,0.000678203125,0.0006279687499999996,True,False,5.437499999999995e-05,5.0234375000000366e-05,False
spatial,fine,shorter/29/E,2,2,1.2248,0.0,0.09607438016528926,0.0290625,0.0,1.0,629,0.7799167533818943,0.8517045454545455,0.9157127991675341,1.2293,0.0044999999999999485,"[1.01, 1.36]",global trapezoid time times cell volume,0.0009009374999999999,0.0008250000000000002,0.0007026562500000003,True,False,0.00019828124999999967,0.00012234374999999995,False
spatial,fine,shorter/29/D_E,1,1,0.2356777777777778,0.0,0.06740702479338843,0.020390625,0.0,1.0,151,0.9204259216853676,0.9172752167959836,1.0034348523013512,0.2409,0.0052222222222222114,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006823437499999996,0.0006846874999999996,0.0006280468749999997,True,False,5.4296874999999875e-05,5.664062499999994e-05,False
spatial,fine,shorter/29/D_E,2,2,1.2260166666666668,0.0,0.09581611570247933,0.028984375,0.0,1.0,625,0.7738466874783212,0.8593163216177176,0.9005376344086025,1.2293,0.003283333333333305,"[1.01, 1.36]",global trapezoid time times cell volume,0.0009009374999999999,0.0008113281250000002,0.0006971875,True,False,0.00020374999999999994,0.0001141406250000002,False
spatial,fine,shorter/29/F,1,1,0.2384,0.0,0.0699896694214876,0.021171875,0.0,1.0,158,0.8895122509732083,0.9138924832372662,0.9733226471261738,0.2409,0.0025000000000000022,"[0.0, 0.35]",global trapezoid time times cell volume,0.0006823437499999996,0.0006641406249999997,0.0006069531249999997,True,False,7.539062499999983e-05,5.718749999999995e-05,False
