reference,reader,seed,comparison,metric,candidate,control,signed_candidate_minus_control,relative_error_reduction
refined,coarse,29,E_vs_F_cov,power_trace_NRMSE,0.010169127395583616,0.02183684164405366,-0.011667714248470044,0.5343132692289891
refined,coarse,29,E_vs_F_cov,local_joule_NRMSE,0.05650492306594186,0.12320553377678427,-0.0667006107108424,0.5413767439349455
refined,coarse,29,F_cov_vs_E,S,0.0014128125000000002,0.001082265625,0.00033054687500000033,-0.3054212084025125
refined,coarse,29,F_cov_vs_E,Ephi,0.02352069619702796,0.018985544417578576,0.004535151779449385,-0.23887393901911613
refined,coarse,29,F_cov_vs_E,ET,0.011598791680211693,0.011058679432145979,0.0005401122480657144,-0.0488405737212787
refined,coarse,29,F_cov_vs_E,EV,0.0033416409447053104,0.001588242723186819,0.0017533982215184915,-1.1039863088434538
refined,coarse,29,F_cov_vs_E,EI,0.02175055959372394,0.010094377330916192,0.011656182262807749,-1.1547202844407445
refined,coarse,29,F_cov_vs_E,bottom_current_NRMSE,0.021750559593723476,0.010094377330918839,0.011656182262804637,-1.1547202844401334
refined,coarse,29,F_cov_vs_E,power_trace_NRMSE,0.02183684164405366,0.010169127395583616,0.011667714248470044,-1.1473663171470596
refined,coarse,29,F_cov_vs_E,local_joule_NRMSE,0.12320553377678427,0.05650492306594186,0.0667006107108424,-1.180438926233066
refined,coarse,29,F_cov_vs_F,S,0.0014128125000000002,0.0012585937500000002,0.00015421875000000006,-0.1225325884543762
refined,coarse,29,F_cov_vs_F,Ephi,0.02352069619702796,0.023830201907113074,-0.0003095057100851138,0.012987960038757795
refined,coarse,29,F_cov_vs_F,ET,0.011598791680211693,0.011745700496220432,-0.00014690881600873916,0.012507454626142778
refined,coarse,29,F_cov_vs_F,EV,0.0033416409447053104,0.003741229158240637,-0.0003995882135353268,0.1068066661073599
refined,coarse,29,F_cov_vs_F,EI,0.02175055959372394,0.02284658276942876,-0.0010960231757048203,0.04797317772929344
refined,coarse,29,F_cov_vs_F,bottom_current_NRMSE,0.021750559593723476,0.022846582769430086,-0.0010960231757066105,0.04797317772936904
refined,coarse,29,F_cov_vs_F,power_trace_NRMSE,0.02183684164405366,0.023513727210381478,-0.0016768855663278175,0.07131517480510108
refined,coarse,29,F_cov_vs_F,local_joule_NRMSE,0.12320553377678427,0.11304663409087722,0.010158899685907052,-0.08986468078068022
refined,coarse,29,F_cov_vs_B_E,S,0.0014128125000000002,0.00157453125,-0.00016171874999999975,0.10270913962488826
refined,coarse,29,F_cov_vs_B_E,Ephi,0.02352069619702796,0.025504228959598335,-0.0019835327625703746,0.07777270058673491
refined,coarse,29,F_cov_vs_B_E,ET,0.011598791680211693,0.01291774799709429,-0.0013189563168825962,0.10210419936813142
refined,coarse,29,F_cov_vs_B_E,EV,0.0033416409447053104,0.0029573788575261973,0.0003842620871791131,-0.12993333140297847
refined,coarse,29,F_cov_vs_B_E,EI,0.02175055959372394,0.019691426256249034,0.002059133337474907,-0.1045700453933065
refined,coarse,29,F_cov_vs_B_E,bottom_current_NRMSE,0.021750559593723476,0.019691426256249388,0.002059133337474088,-0.10457004539326298
refined,coarse,29,F_cov_vs_B_E,power_trace_NRMSE,0.02183684164405366,0.020142086809430332,0.0016947548346233285,-0.08413998264717337
