reference,reader,seed,role,S,Ephi,ET,EV,EI,energy_error,electric_fv_rms,current_balance_rms,power_defect_rms,phase_max,power_trace_rms_error,power_trace_NRMSE,input_power_rms_error,input_power_NRMSE,bottom_current_rms_error,bottom_current_NRMSE,local_joule_NRMSE,top_current_rms_error,bottom_native_NRMSE,strict_device_pass
spatial,coarse,29,E,0.0011464843750000002,0.01993633340127953,0.011343039201857766,0.0015605316421785141,0.00975298738683878,0.0020785450110838125,8.920350974491274e-13,1.286437868561682e-14,7.01026283439968e-15,0.9834933172111099,0.003571213961506492,0.00978039076253178,0.0035712139615057944,0.009780390762529869,0.005139998075405406,0.00975298738684141,0.06476795516469876,0.005139998075404019,0.009752987386846166,False
spatial,coarse,29,F,0.0013104687500000004,0.024449647007894794,0.012000917463713005,0.003691950463208173,0.02240498706115694,0.006265418531249344,8.912569006405961e-13,1.3762256838030909e-14,7.527886475821343e-15,0.9790781496920653,0.008412818858703534,0.02303996812831894,0.008412818858703305,0.023039968128318312,0.011807827264209437,0.022404987061158316,0.11771442321870611,0.011807827264208712,0.022404987061163357,False
spatial,coarse,29,F_cov,0.00145984375,0.024154429842371147,0.011869153505457612,0.0034130774599633695,0.022099771376605275,0.012726720522759149,8.973824235991385e-13,1.3172940145412068e-14,7.049418582516708e-15,0.9768537952648937,0.008099238530387262,0.022181173841716636,0.008099238530387553,0.022181173841717434,0.011646973161875154,0.022099771376604925,0.13070219851056655,0.011646973161875337,0.022099771376605876,False
spatial,coarse,43,E,0.001155078125,0.01976311723656693,0.011319799708226538,0.0010972291996580975,0.0067156259861846,0.0008306562463887519,8.929306187486399e-13,1.3044026962583347e-14,7.206999443520135e-15,0.9859892254479622,0.002407593989392787,0.006593615019317134,0.002407593989392368,0.006593615019315987,0.003539254515053045,0.0067156259861850835,0.058265980966956836,0.0035392545150527903,0.006715625986188816,False
spatial,coarse,43,F,0.0012627343750000002,0.024099285343406142,0.01174756335359894,0.004571108087948211,0.029740114569838987,0.0017763288555300613,8.924270071185551e-13,1.383357969597304e-14,7.557815164497669e-15,0.9855771620765069,0.011229562893292234,0.030754111731377244,0.011229562893291826,0.030754111731376127,0.015673570116327282,0.02974011456984011,0.14600348348271483,0.01567357011632669,0.029740114569844496,False
spatial,coarse,43,F_cov,0.001427578125,0.02443368588145337,0.01187904729149679,0.0033739119073794037,0.021582543662144054,0.013600397468811419,8.978679258205163e-13,1.4156398289271943e-14,7.76391347568942e-15,0.9829737353387408,0.007884187014270532,0.02159221784961773,0.007884187014270192,0.021592217849616797,0.011374384943371266,0.02158254366214507,0.1239823342069296,0.01137438494337073,0.02158254366214521,False
spatial,fine,29,E,0.0011464843750000002,0.01993633340127953,0.011343039201857766,0.0016035756891280488,0.010155780433280285,0.003390812345802286,2.0121083797279514e-12,1.870408360077339e-14,9.975242793306198e-15,0.9834933172111099,0.003737932392888119,0.010236978192969806,0.0037379323928887044,0.010236978192971409,0.005352277185523281,0.010155780433277767,0.055495696303370354,0.005352277185524608,0.010155780433282868,False
spatial,fine,29,F,0.0013104687500000004,0.024449647007894794,0.012000917463713005,0.003730716237014975,0.02276811779210797,0.007566807394925595,2.0089789416507846e-12,2.052995769960959e-14,1.1383003143829579e-14,0.9790781496920653,0.008556078658439322,0.023432310014602054,0.008556078658438436,0.02343231001459963,0.01199920362759206,0.022768117792109625,0.11108544232848135,0.011999203627591187,0.022768117792114805,False
spatial,fine,29,F_cov,0.00145984375,0.024154429842371147,0.011869153505457612,0.0033089634461256775,0.021463049087218446,0.011397829498680973,2.023446467069631e-12,2.1720839441144777e-14,1.182808508174397e-14,0.9768537952648937,0.007862841207243416,0.02153375864327583,0.007862841207242295,0.021533758643272758,0.011311409173920943,0.021463049087222068,0.11947343657736198,0.011311409173919035,0.02146304908722328,False
spatial,fine,43,E,0.001155078125,0.01976311723656693,0.011319799708226538,0.00111391957420713,0.0070045995877591714,0.0020962847860433826,2.0141165529364224e-12,2.1290282137972233e-14,1.1903146054016124e-14,0.9859892254479622,0.002536603696214879,0.006946930546888452,0.002536603696213742,0.006946930546885339,0.0036915487503514453,0.007004599587763097,0.04767007775214124,0.0036915487503493766,0.007004599587767411,False
spatial,fine,43,F,0.0012627343750000002,0.024099285343406142,0.01174756335359894,0.0045796855898525635,0.029837756811061326,0.003050142849660585,2.012579476148033e-12,2.0085347482663448e-14,1.1187742528537168e-14,0.9855771620765069,0.01127227996749115,0.030871099871096888,0.011272279967491508,0.03087109987109787,0.015725029316676936,0.029837756811059733,0.14347234608251525,0.015725029316677776,0.029837756811064254,False
spatial,fine,43,F_cov,0.001427578125,0.02443368588145337,0.01187904729149679,0.003269140964683902,0.02094236005946979,0.01232313433508235,2.0255378813830324e-12,2.0464812071001385e-14,1.1289285142584464e-14,0.9829737353387408,0.007647345843618822,0.02094358709755491,0.007647345843618104,0.020943587097552945,0.011036996781659732,0.020942360059472677,0.11423318769549934,0.011036996781658209,0.02094236005947305,False
