reference,protocol,seed,role,cycle,event_time,reference_event_time,timing,recall,precision,mass_ratio,recovery,peak_roi,peak_full,peak_outside,reference_mass,predicted_mass,overlap_mass
refined,shorter,43,E_I,1,0.23685,0.24143333333333333,0.004583333333333328,0.9020630242575379,0.9427792915531331,0.956812514169123,1.0,0.07128099173553719,0.0215625,0.0,0.0006892187499999996,0.0006594531249999999,0.0006217187499999997
refined,shorter,43,E_I,2,1.2245125000000001,1.2268000000000001,0.002287499999999998,0.9628424657534246,0.9167685660715741,1.0502568493150686,1.0,0.07851239669421488,0.02375,0.0,0.0009125000000000001,0.0009583593750000001,0.00087859375
spatial,original,29,E,1,0.23453333333333334,0.2409,0.006366666666666659,0.8813831005266778,0.9050082294850698,0.9738951225097322,1.0,0.06973140495867769,0.02109375,0.0,0.0006823437499999996,0.0006645312499999996,0.0006014062499999999
spatial,original,29,E,2,1.4919666666666667,1.4997666666666667,0.007800000000000029,0.9870393900889458,0.8778393038761448,1.1243964421855144,1.0,0.06766528925619834,0.02046875,0.0,0.00061484375,0.0006913281249999999,0.0006068750000000003
spatial,original,29,F,1,0.23120000000000002,0.2409,0.009699999999999986,0.8394779024501948,0.8951287999023321,0.937829173345546,1.0,0.06611570247933884,0.02,0.0,0.0006823437499999996,0.0006399218749999995,0.0005728124999999998
spatial,original,29,F,2,1.5026374999999998,1.4997666666666667,0.002870833333333156,0.9094027954256672,0.8949606102288359,1.0161372299872935,1.0,0.06740702479338843,0.020390625,0.0,0.00061484375,0.000624765625,0.0005591406250000001
spatial,original,43,E,1,0.22922,0.2409,0.011679999999999996,0.8054728646668197,0.8764170923134421,0.9190519807648274,1.0,0.06120867768595041,0.018515625,0.0,0.0006823437499999996,0.0006271093749999998,0.0005496093749999999
spatial,original,43,E,2,1.4930999999999999,1.4997666666666667,0.006666666666666821,0.9844980940279543,0.865698324022346,1.13722998729352,1.0,0.07076446280991736,0.02140625,0.0,0.00061484375,0.0006992187500000003,0.0006053125000000001
spatial,original,43,F,1,0.201525,0.2409,0.03937499999999999,0.8439432104419512,0.7529880478087648,1.1207923059308453,1.0,0.05785123966942149,0.0175,0.0,0.0006823437499999996,0.0007647656249999998,0.0005758593749999998
spatial,original,43,F,2,1.5048000000000001,1.4997666666666667,0.005033333333333445,0.8947903430749683,0.9122943386449024,0.980813214739517,1.0,0.06921487603305786,0.0209375,0.0,0.00061484375,0.000603046875,0.0005501562500000001
