reference,reader,protocol,seed,comparison,metric,candidate_error,control_error,signed_candidate_minus_control,difference_percentage_points,relative_error_reduction
old,coarse,shorter,29,D_E_vs_E,bottom_current_NRMSE,0.009314881011217219,0.009942974635242439,-0.0006280936240252201,-0.06280936240252201,0.06316958928960452
old,coarse,shorter,29,D_E_vs_E,power_trace_NRMSE,0.009350194548018671,0.00999332058970384,-0.0006431260416851683,-0.06431260416851683,0.06435558990750119
old,coarse,shorter,29,D_E_vs_E,energy_error,0.003045758192766017,0.00287606086266471,0.0001696973301013073,0.01696973301013073,-0.05900338629971843
old,coarse,shorter,29,D_E_vs_E,local_joule_NRMSE,0.053819461639502186,0.056357927738193946,-0.0025384660986917593,,0.045041863683916696
old,coarse,shorter,29,D_E_vs_F,S,0.0010574999999999998,0.0012612500000000002,-0.00020375000000000037,,0.16154608523290412
old,coarse,shorter,29,D_E_vs_F,Ephi,0.018570546502962307,0.023818465166233878,-0.00524791866327157,,0.22032984185359075
old,coarse,shorter,29,D_E_vs_F,ET,0.010904924970924842,0.011691428007149965,-0.0007865030362251228,-0.07865030362251227,0.06727176831984356
old,coarse,shorter,29,D_E_vs_F,EV,0.0014612692374090363,0.0037235134756986397,-0.0022622442382896034,,0.6075563451170646
old,coarse,shorter,29,D_E_vs_F,EI,0.009314881011217182,0.022699139664465462,-0.01338425865324828,-1.338425865324828,0.5896372660414424
old,coarse,shorter,29,D_E_vs_F,bottom_current_NRMSE,0.009314881011217219,0.02269913966446679,-0.013384258653249572,-1.3384258653249572,0.5896372660414648
old,coarse,shorter,29,D_E_vs_F,power_trace_NRMSE,0.009350194548018671,0.023353161120948644,-0.014002966572929973,-1.4002966572929973,0.5996176063877192
old,coarse,shorter,29,D_E_vs_F,energy_error,0.003045758192766017,0.007066266554761794,-0.004020508361995776,-0.4020508361995776,0.5689720775232359
old,coarse,shorter,29,D_E_vs_F,local_joule_NRMSE,0.053819461639502186,0.11271435174216146,-0.058894890102659275,,0.5225145617426223
old,coarse,shorter,29,D_E_vs_B_E,S,0.0010574999999999998,0.0015754687500000003,-0.0005179687500000004,,0.32877119904790264
old,coarse,shorter,29,D_E_vs_B_E,Ephi,0.018570546502962307,0.02552352964250399,-0.006952983139541683,,0.2724146400176163
old,coarse,shorter,29,D_E_vs_B_E,ET,0.010904924970924842,0.012800189053165364,-0.0018952640822405224,-0.18952640822405223,0.14806531953306123
old,coarse,shorter,29,D_E_vs_B_E,EV,0.0014612692374090363,0.003005663306483679,-0.0015443940690746429,,0.5138280344784949
old,coarse,shorter,29,D_E_vs_B_E,EI,0.009314881011217182,0.020031855675185353,-0.010716974663968171,-1.071697466396817,0.5349965993037741
old,coarse,shorter,29,D_E_vs_B_E,bottom_current_NRMSE,0.009314881011217219,0.020031855675185704,-0.010716974663968485,-1.0716974663968486,0.5349965993037804
old,coarse,shorter,29,D_E_vs_B_E,power_trace_NRMSE,0.009350194548018671,0.020489387231699213,-0.011139192683680542,-1.113919268368054,0.543656701770322
old,coarse,shorter,29,D_E_vs_B_E,energy_error,0.003045758192766017,0.015059309720727837,-0.01201355152796182,-1.2013551527961819,0.797749149911314
old,coarse,shorter,29,D_E_vs_B_E,local_joule_NRMSE,0.053819461639502186,0.1133849836004611,-0.05956552196095892,,0.5253387183161059
old,coarse,shorter,43,E_vs_F,S,0.0010735156249999998,0.001197734375,-0.0001242187500000002,,0.1037114343487054
old,coarse,shorter,43,E_vs_F,Ephi,0.018619221717954475,0.0233632244353989,-0.004744002717444424,,0.20305428005290768
old,coarse,shorter,43,E_vs_F,ET,0.010960980041449084,0.0114088216040331,-0.00044784156258401674,-0.044784156258401674,0.03925397189361796
