pool,state,time,weight,original_time_mass,phase_raw,thermal_raw,phase_BC,H,gate,psi_min,psi_max,delta_psi_min,delta_psi_max,phi_t_abs_max,phase_grad_abs_max,phase_laplacian_abs_max,rphi_abs_max,rT_abs_max,bc_normal_abs_max,bc_left,bc_right,bc_bottom,bc_top,phase_hot_cell,phase_hot_x,phase_hot_z,thermal_hot_cell,thermal_hot_x,thermal_hot_z,bc_hot_x,bc_hot_z
common-256,N-Adam,1.8324153669845988,0.005920331576720893,0.0015629675362543159,0.028666163598877935,0.003484995347554885,0.021120854334424493,0.1060590912565149,0.5388652563137135,-18.222948766250873,1.858519002945223,-0.47571419385911184,0.3265941225585127,3.1345822223646453,9.202313179453565,247.55326616865085,1.2495621362576417,0.22287922681192038,1.8486173390638863,7.239907348507108e-16,1.5618010300309364e-15,0.27457110634751586,2.8339585479763015e-16,50,0.2625000000000002,0.0125,50,0.2625000000000002,0.0125,-0.46576263684377706,0.0
common-256,N-final,1.8324153669845988,0.005920331576720893,0.0015629675362543159,8.941882207679541e-97,0.0026897922181219483,1.1098611636452422e-100,5.603733787754059e-05,0.5388652563137135,-403.37268203583415,-115.37400836282939,-385.73165379059117,-97.58965646849904,7.359756548389909e-48,1.2931913628216103e-49,2.9549226726812e-48,7.434189966992637e-48,0.15137075190641971,7.744237068473734e-50,1.2775735842754386e-99,6.96470560535445e-155,1.57296116731164e-137,1.652459284633764e-100,2403,-0.9125,0.7625000000000001,2071,0.7875000000000001,0.6375000000000001,-1.0,0.7587374854142471
common-256,S-final,1.8324153669845988,0.005920331576720893,0.0015629675362543159,0.02465217706629076,0.0031319191836554805,0.01934023201039039,0.09709510406249532,0.5388652563137135,-18.393832041895237,6.491703817244113,-0.8005388391518533,4.94764711892983,3.2903821466690184,9.596457043417603,1338.716487375924,1.6766103076759884,0.23066922302713902,2.1333576174078943,7.255932112342636e-16,9.146107942705777e-16,0.2514230161350719,1.4854494671781998e-15,50,0.2625000000000002,0.0125,50,0.2625000000000002,0.0125,-0.46576263684377706,0.0
common-256,B0,1.8363346330154013,0.005920331576720893,0.0015629675362543159,0.010957697055631248,0.0033046608544563456,0.02344765596231413,0.11745322954011357,0.5184831543732665,-18.402615066433988,1.4983864956128699,0.0,0.0,2.5517076299711947,9.631778201031262,277.8380897411978,0.8290528745493575,0.19146953214657278,1.730559134183138,7.036632324289396e-16,8.996669865742205e-16,0.3048195275100806,1.4625145059011337e-15,108,-0.2875,0.037500000000000006,50,0.2625000000000002,0.0125,-0.46576263684377706,0.0
common-256,N-Adam,1.8363346330154013,0.005920331576720893,0.0015629675362543159,0.03072034113864808,0.003480496137175969,0.020632590567440396,0.10364506772190846,0.5184831543732665,-18.23885417199239,1.800224859089826,-0.45809032967720853,0.31354687040598517,3.191955380078008,9.280033444548828,252.63988368746226,1.2823878559430364,0.22348191965191347,1.7922161490616577,6.992103428316086e-16,1.5003831010966985e-15,0.26822367737672265,2.9984842854151764e-16,50,0.2625000000000002,0.0125,50,0.2625000000000002,0.0125,-0.46576263684377706,0.0
common-256,N-final,1.8363346330154013,0.005920331576720893,0.0015629675362543159,1.4616284850649535e-93,0.0026679914360631415,1.567083126641012e-97,5.5583154917982115e-05,0.5184831543732665,-388.8020403539741,-111.68674880362728,-371.142397959113,-93.88961705240747,2.942881344242076e-46,4.9733155996409246e-48,1.1822746557495764e-46,2.9726183497803584e-46,0.15151460726329918,2.897534825391366e-48,1.7903553868982845e-96,1.2504238159503918e-149,2.6014164570836528e-132,2.4685267773503137e-97,2403,-0.9125,0.7625000000000001,2071,0.7875000000000001,0.6375000000000001,-1.0,0.7587374854142471
common-256,S-final,1.8363346330154013,0.005920331576720893,0.0015629675362543159,0.03670942550127343,0.0032143961008719787,0.018970158578128258,0.09540721848275976,0.5184831543732665,-18.40261506340303,6.152381557363348,-0.741648981524877,4.653995061750478,3.8026805582924874,10.645857427560626,1394.3884176632223,2.061846100110025,0.2540181785626374,1.8838404088790428,7.036631846978137e-16,8.996669361191148e-16,0.24661206151566425,1.4625148142186448e-15,50,0.2625000000000002,0.0125,50,0.2625000000000002,0.0125,-0.46576263684377706,0.0
common-256,B0,1.8401830732348223,0.005706356720153863,0.0015064781741206197,0.011953093662929973,0.0033044725148683026,0.02292099617637611,0.11483319864144603,0.4984580497368276,-18.411102600426677,1.4532499827347412,0.0,0.0,2.5793087580514302,9.622453453709934,280.1247777500496,0.870967517694345,0.19045400910933377,1.6712638810256029,6.828633540924475e-16,8.853705468146619e-16,0.29797295029288645,1.4404322518790067e-15,108,-0.2875,0.037500000000000006,50,0.2625000000000002,0.0125,-0.46576263684377706,0.0
common-256,N-Adam,1.8401830732348223,0.005706356720153863,0.0015064781741206197,0.03278731076383469,0.003486660374199051,0.020222173580252877,0.101620670802578,0.4984580497368276,-18.254288849501272,1.7427411510041357,-0.4407455635919071,0.3007810042488819,3.243617609966138,9.34545342151689,257.34437584201015,1.311884671090112,0.22366945170506916,1.7358757921636592,6.759809723159487e-16,1.4430332225182794e-15,0.26288825654328496,3.1665152277493523e-16,50,0.2625000000000002,0.0125,50,0.2625000000000002,0.0125,-0.46576263684377706,0.0
common-256,N-final,1.8401830732348223,0.005706356720153863,0.0015064781741206197,2.091869095510729e-90,0.0026599310454384108,1.9437260589755533e-94,5.5415230113300224e-05,0.4984580497368276,-374.4864911290249,-108.06468240070375,-356.80857245200474,-90.25511148707203,1.1005594573914641e-44,1.7905855336960168e-46,4.418706728798517e-45,1.1116887219640885e-44,0.1510277552716576,1.014920713679197e-46,2.202736065267109e-93,1.8166024568320924e-144,3.4864220566448565e-127,3.241078114011104e-94,2403,-0.9125,0.7625000000000001,2071,0.7875000000000001,0.6375000000000001,-1.0,0.7587374854142471
