intent,configuration,time,roi_phase_fraction,roi_temperature_max
4,Medium,1.88,0.836776859504,0.282511231272
4,Medium,1.885,0.836776859504,0.280152494501
4,Medium,1.89,0.836776859504,0.277837853228
4,Medium,1.895,0.834710743802,0.275540408204
4,Medium,1.9,0.832644628099,0.273260116983
4,Medium,1.905,0.832644628099,0.270996934902
4,Medium,1.91,0.832644628099,0.268750815194
4,Medium,1.915,0.832644628099,0.26652170908
4,Medium,1.92,0.832644628099,0.264309565867
4,Medium,1.925,0.832644628099,0.262114333026
4,Medium,1.93,0.832644628099,0.259935956281
4,Medium,1.935,0.832644628099,0.257782169206
4,Medium,1.94,0.832644628099,0.25565944459
4,Medium,1.945,0.832644628099,0.253552929959
4,Medium,1.95,0.830578512397,0.251462572171
4,Medium,1.955,0.826446280992,0.249388316503
4,Medium,1.96,0.826446280992,0.247330106716
4,Medium,1.965,0.826446280992,0.245287885119
4,Medium,1.97,0.826446280992,0.243261592632
4,Medium,1.975,0.824380165289,0.241251168842
4,Medium,1.98,0.824380165289,0.239256552058
4,Medium,1.985,0.824380165289,0.237277679367
4,Medium,1.99,0.824380165289,0.235314486677
4,Medium,1.995,0.818181818182,0.233375224873
4,Medium,2,0.818181818182,0.231460173715
5,Fine,0,0,0
5,Fine,0.0025,0,0.00021467547006
5,Fine,0.005,0,0.00107854572359
5,Fine,0.0075,0,0.00291931433822
5,Fine,0.01,0,0.00599061718745
5,Fine,0.0125,0,0.0105063199974
5,Fine,0.015,0,0.0166545462512
5,Fine,0.0175,0,0.0246049268944
5,Fine,0.02,0,0.0345129280379
5,Fine,0.0225,0,0.0465226837371
5,Fine,0.025,0,0.0607689715411
5,Fine,0.0275,0,0.0773786557702
5,Fine,0.03,0,0.0964717805403
5,Fine,0.0325,0,0.118162421843
5,Fine,0.035,0,0.142559368333
5,Fine,0.0375,0,0.169766676446
5,Fine,0.04,0,0.199884129705
5,Fine,0.0425,0,0.233007617122
5,Fine,0.045,0,0.269229425362
5,Fine,0.0475,0,0.308638405408
5,Fine,0.05,0,0.35131993219
5,Fine,0.0525,0,0.388288796071
5,Fine,0.055,0,0.420386334612
5,Fine,0.0575,0,0.449456367715
5,Fine,0.06,0,0.476333554712
5,Fine,0.0625,0,0.501494653936
5,Fine,0.065,0,0.525250481908
5,Fine,0.0675,0,0.547820537466
5,Fine,0.07,0,0.569368280017
5,Fine,0.0725,0,0.590020146532
5,Fine,0.075,0,0.609876775252
5,Fine,0.0775,0,0.629020081687
5,Fine,0.08,0,0.647517950378
5,Fine,0.0825,0,0.665427472427
5,Fine,0.085,0,0.68279725297
5,Fine,0.0875,0,0.699669100207
5,Fine,0.09,0,0.716079289452
5,Fine,0.0925,0,0.732059526943
5,Fine,0.095,0,0.747637696189
5,Fine,0.0975,0,0.762838443288
