reference,reader,object,cycle,start,end,reference_energy,predicted_energy,signed_energy_error
refined,coarse,shorter/29/F,1,0.0,0.35,0.2143037337639257,0.21435502350597332,5.128974204763497e-05
refined,coarse,shorter/29/F,2,1.01,1.36,0.2191005235789181,0.20589242066799857,-0.013208102910919534
refined,coarse,shorter/43/E,1,0.0,0.35,0.2143037337639257,0.21401183015194516,-0.0002919036119805297
refined,coarse,shorter/43/E,2,1.01,1.36,0.2191005235789181,0.2203347877926407,0.0012342642137226272
refined,coarse,shorter/43/D_E,1,0.0,0.35,0.2143037337639257,0.21407017596684053,-0.00023355779708514665
refined,coarse,shorter/43/D_E,2,1.01,1.36,0.2191005235789181,0.22027801556450155,0.0011774919855834323
refined,coarse,shorter/43/F,1,0.0,0.35,0.2143037337639257,0.21392705825603114,-0.0003766755078945677
refined,coarse,shorter/43/F,2,1.01,1.36,0.2191005235789181,0.20564953890143756,-0.013450984677480526
refined,coarse,shorter/B_E,1,0.0,0.35,0.2143037337639257,0.21187180702172392,-0.002431926742201758
refined,coarse,shorter/B_E,2,1.01,1.36,0.2191005235789181,0.2051901835842,-0.013910339994718104
refined,fine,shorter/29/E,1,0.0,0.35,0.2143037337639257,0.21475845011207578,0.00045471634815007027
refined,fine,shorter/29/E,2,1.01,1.36,0.2191005235789181,0.22053329978950964,0.0014327762105915318
refined,fine,shorter/29/D_E,1,0.0,0.35,0.2143037337639257,0.2149931317683993,0.0006893980044736188
refined,fine,shorter/29/D_E,2,1.01,1.36,0.2191005235789181,0.22062900246073558,0.0015284788818174721
refined,fine,shorter/29/F,1,0.0,0.35,0.2143037337639257,0.21464607675123779,0.0003423429873121222
refined,fine,shorter/29/F,2,1.01,1.36,0.2191005235789181,0.20624494381380004,-0.012855579765118055
refined,fine,shorter/43/E,1,0.0,0.35,0.2143037337639257,0.21429652989430895,-7.203869616750333e-06
refined,fine,shorter/43/E,2,1.01,1.36,0.2191005235789181,0.2206052712435025,0.0015047476645843976
refined,fine,shorter/43/D_E,1,0.0,0.35,0.2143037337639257,0.21435535772053274,5.162395660705405e-05
refined,fine,shorter/43/D_E,2,1.01,1.36,0.2191005235789181,0.22055065641371774,0.0014501328347996552
refined,fine,shorter/43/F,1,0.0,0.35,0.2143037337639257,0.21421752111223485,-8.621265169082883e-05
