protocol,seed,candidate,baseline,layer,kind,metric,reference_delta,base_normalizer,relative_radius,absolute_radius,sufficient_radius,nominal_pass,certified_at_observed_radius
original,43,original/43/E,original/43/F,B,noninferior,EV,7.216584788074379e-05,1.0,17.051584709922988,15.868550445773703,17.051584709922988,True,True
original,43,original/43/E,original/43/F,B,noninferior,EI,0.00026573135288415544,0.5192396884541327,15.740269305808818,14.635215856690461,15.740269305808818,True,True
original,43,original/43/E,original/B_E,A,gain,S,1.6874999999999953e-05,1.0,4.240253411306068,8.201092592592627,4.240253411306068,True,True
original,43,original/43/E,original/B_E,A,gain,Ephi,0.0003903451477262402,1.0,-0.30520517389274554,2.7534875885981283,0.0,False,False
original,43,original/43/E,original/B_E,A,noninferior,ET,0.0004479333627881214,1.0,3.9327739255403373,3.291125221018174,3.9327739255403373,True,True
original,43,original/43/E,original/B_E,A,noninferior,EI,0.00026573135288415544,0.5192396884541327,2.314835868424933,1.529442149274003,2.314835868424933,True,True
original,43,original/43/E,original/B_E,A,noninferior,EV,7.216584788074379e-05,1.0,2.2244037202191964,1.3943975748723836,2.2244037202191964,True,True
original,43,original/43/E,original/B_E,B,gain,bottom_current_NRMSE,0.00026573135288415544,0.5192396884541327,-0.16843767559819386,1.5274881478941669,0.0,False,False
original,43,original/43/E,original/B_E,B,gain,power_trace_NRMSE,0.0001870039609800658,0.3596171853089629,-0.12291433663650549,1.5709237775345297,0.0,False,False
original,43,original/43/E,original/B_E,B,noninferior,S,1.6874999999999953e-05,1.0,10.03703703703708,8.201685185185218,10.03703703703708,True,True
original,43,original/43/E,original/B_E,B,noninferior,Ephi,0.0003903451477262402,1.0,4.172805089768109,2.756049423952878,4.172805089768109,True,True
original,43,original/43/E,original/B_E,B,noninferior,ET,0.0004479333627881214,1.0,3.9327739255403373,3.291125221018174,3.9327739255403373,True,True
original,43,original/43/E,original/B_E,B,noninferior,EV,7.216584788074379e-05,1.0,2.2244037202191964,1.3943975748723836,2.2244037202191964,True,True
original,43,original/43/E,original/B_E,B,noninferior,EI,0.00026573135288415544,0.5192396884541327,2.314835868424933,1.529442149274003,2.314835868424933,True,True
shorter,29,shorter/29/E,shorter/29/F,A,gain,S,1.6718749999999986e-05,1.0,1.5410723069355698,5.235682242990662,1.5410723069355698,True,True
shorter,29,shorter/29/E,shorter/29/F,A,gain,Ephi,0.0003218319177540761,1.0,3.9808371577903303,7.48069274493714,3.9808371577903303,True,True
shorter,29,shorter/29/E,shorter/29/F,A,noninferior,ET,0.0003994401259507506,1.0,1.5317498287842066,0.8395568726877677,1.5317498287842066,True,True
shorter,29,shorter/29/E,shorter/29/F,A,noninferior,EI,0.0002044781564433005,0.5266209625484372,17.451577349486094,16.427640205787494,17.451577349486094,True,True
shorter,29,shorter/29/E,shorter/29/F,A,noninferior,EV,5.49345479863641e-05,1.0,20.79270705871646,19.618912239900713,20.79270705871646,True,True
