time,nominal_roi_phase,joule_off_roi_phase,nominal_roi_temperature_max,joule_off_roi_temperature_max
0.775,0.29958677686,0,0.312230756801,0.00141626727455
0.78,0.29958677686,0,0.309591833897,0.00140976969043
0.785,0.297520661157,0,0.306971675741,0.00140324894941
0.79,0.295454545455,0,0.304370239616,0.00139670631692
0.795,0.295454545455,0,0.301787485417,0.00139014303306
0.8,0.295454545455,0,0.299223375202,0.00138356031311
0.805,0.293388429752,0,0.296677872768,0.00137695934788
0.81,0.293388429752,0,0.294150943258,0.00137034130414
0.815,0.293388429752,0,0.291642552786,0.00136370732505
0.82,0.293388429752,0,0.289152668099,0.00135705853056
0.825,0.293388429752,0,0.286681256255,0.00135039601776
0.83,0.293388429752,0,0.284228284327,0.00134372086129
0.835,0.29132231405,0,0.281793719138,0.00133703411376
0.84,0.29132231405,0,0.279377527008,0.00133033680604
0.845,0.29132231405,0,0.276979673529,0.0013236299477
0.85,0.289256198347,0,0.274600123363,0.00131691452732
0.855,0.289256198347,0,0.272238840055,0.00131019151288
0.86,0.289256198347,0,0.269895785865,0.00130346185208
0.865,0.289256198347,0,0.267570921626,0.00129672647269
0.87,0.289256198347,0,0.265264206613,0.00128998628291
0.875,0.285123966942,0,0.262975598426,0.00128324217165
0.88,0.28305785124,0,0.260705052894,0.0012764950089
0.885,0.28305785124,0,0.258452523996,0.00126974564603
0.89,0.28305785124,0,0.256217963783,0.00126299491612
0.895,0.28305785124,0,0.254007357022,0.00125624363424
0.9,0.28305785124,0,0.251824073855,0.00124949259777
0.905,0.280991735537,0,0.249658349459,0.00124274258672
0.91,0.278925619835,0,0.247510126359,0.00123599436398
0.915,0.276859504132,0,0.245379345612,0.00122924867565
0.92,0.27479338843,0,0.243265946756,0.00122250625128
0.925,0.27479338843,0,0.241169867761,0.00121576780422
0.93,0.27479338843,0,0.239091045001,0.0012090340318
0.935,0.27479338843,0,0.237029413222,0.0012023056157
0.94,0.272727272727,0,0.234984905529,0.00119558322214
0.945,0.272727272727,0,0.232957453368,0.00118886750218
0.95,0.270661157025,0,0.230946986531,0.00118215909195
0.955,0.270661157025,0,0.22895343315,0.00117545861296
0.96,0.270661157025,0,0.22697671971,0.00116876667228
0.965,0.270661157025,0,0.22501677106,0.00116208386282
0.97,0.268595041322,0,0.223073510434,0.00115541076359
0.975,0.268595041322,0,0.22114685947,0.00114874793989
0.98,0.268595041322,0,0.219236738241,0.00114209594358
0.985,0.268595041322,0,0.217343065281,0.00113545531331
0.99,0.268595041322,0,0.215465757623,0.00112882657472
0.995,0.264462809917,0,0.213604730832,0.0011222102407
1,0.264462809917,0,0.211759899046,0.00111560681157
1.005,0.264462809917,0,0.209948377517,0.00110901677533
1.01,0.262396694215,0,0.208226032601,0.00110244060786
1.015,0.262396694215,0,0.20666131328,0.0010958787731
1.02,0.262396694215,0,0.205331448317,0.00108933172331
1.025,0.262396694215,0,0.204395692676,0.00108279989924
1.03,0.262396694215,0,0.204285065658,0.00107628373033
1.035,0.260330578512,0,0.217046912535,0.00106978363492
1.04,0.260330578512,0,0.233790946077,0.00106330002042
1.045,0.256198347107,0,0.254587928643,0.00105683328352
1.05,0.256198347107,0,0.279772305953,0.00105038381039
1.055,0.252066115702,0,0.30129027042,0.00104395197681
1.06,0.252066115702,0,0.319536171952,0.00103753814843
1.065,0.25,0,0.336021738555,0.00103114268087
1.07,0.25,0,0.351406858442,0.00102476591994
1.075,0.247933884298,0,0.366044532575,0.00101840820182
1.08,0.243801652893,0,0.380146903375,0.00101206985321
1.085,0.243801652893,0,0.393850656144,0.00100575119148
1.09,0.243801652893,0,0.407248050184,0.000999452524888
1.095,0.243801652893,0,0.420424810987,0.000993174152691
1.1,0.239669421488,0,0.436941061396,0.000986916365336
1.105,0.235537190083,0,0.453206077431,0.000980679444602
1.11,0.23347107438,0,0.469169863343,0.000974463663763
1.115,0.23347107438,0,0.484848140255,0.000968269287735
1.12,0.231404958678,0,0.500254511294,0.00096209657323
1.125,0.231404958678,0,0.515400722373,0.000955945768903
1.13,0.229338842975,0,0.530296749467,0.000949817115494
1.135,0.229338842975,0,0.544950748709,0.000943710845976
1.14,0.229338842975,0,0.559368896033,0.000937627185694
1.145,0.235537190083,0,0.573555133589,0.000931566352504
1.15,0.235537190083,0,0.587510831946,0.000925528556908
1.155,0.23347107438,0,0.601234370114,0.00091951400219
1.16,0.23347107438,0,0.614720634339,0.00091352288455
1.165,0.237603305785,0,0.627960434274,0.00090755539323
1.17,0.235537190083,0,0.640939843152,0.000901611710646
1.175,0.23347107438,0,0.653639479785,0.000895692012514
1.18,0.235537190083,0,0.666033771471,0.00088979646797
1.185,0.237603305785,0,0.678312492736,0.000883925239699
1.19,0.239669421488,0,0.691031073782,0.000878078484052
1.195,0.243801652893,0,0.703649440501,0.000872256351161
1.2,0.25,0,0.716051562724,0.000866458985063
1.205,0.256198347107,0,0.728131681278,0.00086068652381
1.21,0.256198347107,0,0.739828474445,0.000854939099582
1.215,0.262396694215,0,0.751068146431,0.000849216838803
1.22,0.268595041322,0,0.76290752213,0.000843519862242
1.225,0.278925619835,0,0.774953358784,0.00083784828513
1.23,0.28305785124,0,0.786547447433,0.00083220221726
1.235,0.289256198347,0,0.797604711129,0.000826581763094
1.24,0.293388429752,0,0.808428969171,0.000820987021865
1.245,0.305785123967,0,0.820812347671,0.000815418087679
1.25,0.314049586777,0,0.832632264671,0.000809875049614
1.255,0.320247933884,0,0.843728058225,0.000804357991817
1.26,0.326446280992,0,0.854146924192,0.000798866993603
1.265,0.342975206612,0,0.866825894071,0.000793402129547
1.27,0.349173553719,0,0.878725124245,0.00078796346958
1.275,0.355371900826,0,0.889616639136,0.000782551079079
1.28,0.373966942149,0,0.901258522395,0.00077716501896
1.285,0.382231404959,0,0.913955876905,0.000771805345763
1.29,0.402892561983,0,0.925499805855,0.000766472111744
1.295,0.413223140496,0,0.93676023383,0.00076116536496
1.3,0.429752066116,0,0.950188251267,0.00075588514935
1.305,0.440082644628,0,0.9568976769,0.000750631504824
1.31,0.456611570248,0,0.957192149291,0.000745404467344
1.315,0.477272727273,0,0.954226183783,0.000740204069002
1.32,0.487603305785,0,0.945760027887,0.000735030338102
1.325,0.50826446281,0,0.935343731108,0.000729883299236
1.33,0.518595041322,0,0.922173601043,0.000724762973367
1.335,0.537190082645,0,0.906240859011,0.000719669377896
1.34,0.553719008264,0,0.890506361037,0.000714602526743
1.345,0.568181818182,0,0.874319633808,0.00070956243042
1.35,0.584710743802,0,0.857827083459,0.000704549096099
1.355,0.601239669421,0,0.843010631421,0.000699562527688
1.36,0.623966942149,0,0.828775501755,0.000694602725898
1.365,0.638429752066,0,0.81507650837,0.000689669688311
1.37,0.654958677686,0,0.801639449736,0.00068476340945
1.375,0.673553719008,0,0.788751519408,0.000679883880846
1.38,0.688016528926,0,0.77679180334,0.0006750310911
1.385,0.70041322314,0,0.765615030681,0.00067020502595
1.39,0.706611570248,0,0.75434019478,0.000665405668334
