reference,protocol,seed,role,valid,strict,S,Ephi,ET,EV,EI,bottom_current_NRMSE,power_trace_NRMSE,energy_error,local_joule_NRMSE,normalizer_top_current,normalizer_bottom_current,normalizer_power,normalizer_local_q,fixed_old_denominator_EI,fixed_old_denominator_bottom_current_NRMSE,fixed_old_denominator_power_trace_NRMSE,fixed_old_denominator_local_joule_NRMSE
refined,shorter,29,E,True,False,0.001082265625,0.018985544417578576,0.011058679432145979,0.001588242723186819,0.010094377330916192,0.010094377330918839,0.010169127395583616,0.0031642290476377893,0.05650492306594186,0.5264634683460825,0.5264634683460817,0.3647518956252124,0.2707270809701395,0.010091358450128944,0.01009135845013159,0.01016601775142362,0.05651213247695069
refined,shorter,29,F,True,False,0.0012585937500000002,0.023830201907113074,0.011745700496220432,0.003741229158240637,0.02284658276942876,0.022846582769430086,0.023513727210381478,0.007355638760865776,0.11304663409087722,0.5264634683460825,0.5264634683460817,0.3647518956252124,0.2707270809701395,0.022839750142956035,0.02283975014295736,0.023506536886014878,0.11306105760663664
refined,shorter,43,E,True,False,0.0010675781250000002,0.018581117433486314,0.010990276367360127,0.0010965397647056808,0.0069550749659885586,0.0069550749659893695,0.006891598773290862,0.0019149882802299975,0.04783553686306185,0.5264634683460825,0.5264634683460817,0.3647518956252124,0.2707270809701395,0.006952994942476421,0.006952994942477231,0.0068894913732117065,0.047841640155082465
refined,shorter,43,F,True,False,0.0011950781250000004,0.02333617624104989,0.011446278806350622,0.004595274780679757,0.02999654983492931,0.029996549834930386,0.03103574748176868,0.002861685461407761,0.14397305760965676,0.5264634683460825,0.5264634683460817,0.3647518956252124,0.2707270809701395,0.02998757889942613,0.029987578899427204,0.03102625697907818,0.14399142699926365
refined,shorter,-,B_E,True,False,0.00157453125,0.025504228959598335,0.01291774799709429,0.0029573788575261973,0.019691426256249034,0.019691426256249388,0.020142086809430332,0.01477629511692948,0.11229127154546015,0.5264634683460825,0.5264634683460817,0.3647518956252124,0.2707270809701395,0.019685537228481424,0.019685537228481778,0.020135927507832413,0.1123055986852092
refined,shorter,29,E_C,True,False,0.000981328125,0.017533513554061277,0.01045555243676333,0.001536596694286078,0.009866780999710606,0.009866780999711276,0.009968737724606467,0.005126419117121799,0.05568871238263938,0.5264634683460825,0.5264634683460817,0.3647518956252124,0.2707270809701395,0.009863830185151615,0.009863830185152286,0.009965689358129977,0.05569581765408007
refined,shorter,29,E_R,True,False,0.0010056250000000002,0.017700935047563017,0.010498835817490228,0.0014647872142442755,0.00951525379857381,0.009515253798575795,0.009606869308288152,0.004435330022953811,0.05435330162903804,0.5264634683460825,0.5264634683460817,0.3647518956252124,0.2707270809701395,0.009512408113700278,0.009512408113702263,0.009603931598504584,0.05436023651665258
refined,shorter,29,E_I,True,False,0.0009482031250000002,0.017250773434514036,0.01050085803438248,0.0014383972759337922,0.009199367632606167,0.009199367632607995,0.00921949024201314,0.00447185999901643,0.05337187533213441,0.5264634683460825,0.5264634683460817,0.3647518956252124,0.2707270809701395,0.009196616418411326,0.009196616418413153,0.009216670989891108,0.05337868500047309
refined,shorter,43,E_C,True,False,0.0009685937500000002,0.016923132561674447,0.010429099663088219,0.0009967171102116255,0.0063478854031876406,0.0063478854031840315,0.006313000812156097,0.001798590396393012,0.04792135452167005,0.5264634683460825,0.5264634683460817,0.3647518956252124,0.2707270809701395,0.00634598696917283,0.006345986969169223,0.006311070343066281,0.04792746876308655
refined,shorter,43,E_R,True,False,0.000968984375,0.016816502869890233,0.01048730891677874,0.0009689921301932509,0.006093890034870747,0.006093890034868439,0.0060118232478703106,0.0014161059854360702,0.048562526843899674,0.5264634683460825,0.5264634683460817,0.3647518956252124,0.2707270809701395,0.006092067562127478,0.00609206756212517,0.0060099848766584614,0.048568722891901304
refined,shorter,43,E_I,True,True,0.001000859375,0.017264731147775072,0.010536352024977099,0.0009372062635632852,0.005920638870709651,0.005920638870709044,0.005850365969979421,0.0012553235973087372,0.04679995742175712,0.5264634683460825,0.5264634683460817,0.3647518956252124,0.2707270809701395,0.005918868211425865,0.005918868211425258,0.0058485769712124,0.046805928585152125
spatial,original,29,E,True,False,0.0011057031250000001,0.021062069554395317,0.01102030069488648,0.0012999153788749982,0.008465441888275452,0.008465441888279055,0.008486387674130609,0.0019827251193337754,0.05802674878083643,0.5196102371806038,0.5196102371806017,0.3598780687433939,0.2717485240007748,0.008471483142017159,0.008471483142020763,0.008492544103947603,0.05758018381800395
spatial,original,29,F,True,False,0.0012865625,0.02474980346122313,0.011331634042679697,0.002568755182945587,0.016541657641857315,0.016541657641858172,0.016910838300866635,0.0008411681769303136,0.09729879506202313,0.5196102371806038,0.5196102371806017,0.3598780687433939,0.2717485240007748,0.01655346238311498,0.01655346238311584,0.016923106228416446,0.09654999845160771
spatial,original,43,E,True,False,0.001189140625,0.022457532935059307,0.010742079394001928,0.0023299300023880204,0.01544880144102157,0.01544880144102405,0.015630704964583457,0.005796987568478327,0.08175342149722084,0.5196102371806038,0.5196102371806017,0.3598780687433939,0.2717485240007748,0.015459826279505158,0.01545982627950764,0.015642044222439654,0.08112425969857823
spatial,original,43,F,True,False,0.0013009375,0.025164809697257158,0.010795154574735361,0.004589386972153883,0.030253100315378777,0.030253100315381233,0.0312907269680883,0.01141492621036206,0.12847378003769064,0.5196102371806038,0.5196102371806017,0.3598780687433939,0.2717485240007748,0.030274690051377274,0.030274690051379734,0.03131342675177707,0.1274850655221804
spatial,original,-,B_E,True,False,0.00136015625,0.023309587224554878,0.013568044818113542,0.0025779520204230275,0.017264567500705853,0.0172645675007028,0.01753497508336308,0.01260720347013221,0.10622455176669056,0.5196102371806038,0.5196102371806017,0.3598780687433939,0.2717485240007748,0.017276888137287984,0.017276888137284927,0.017547695789461925,0.10540706390103825
spatial,shorter,29,E,True,False,0.0011464843750000002,0.01993633340127953,0.011343039201857766,0.0015605316421785141,0.00975298738683878,0.00975298738684141,0.00978039076253178,0.0020785450110838125,0.06476795516469876,0.5270178122387625,0.5270178122387602,0.3651402125145803,0.2687680406026689,0.009760337018356454,0.009760337018359088,0.009787809065379629,0.064307483961832
