reference,protocol,seed,role,region,measure,FN,FP,reference_active_mass,predicted_active_mass,conditional_RMS
spatial,original,29,E,full_history/near_threshold,0.0011381249999999992,0.00014804687499999988,0.0003181249999999997,0.0005439062499999997,0.0007139843750000011,0.10005705480316848
spatial,original,29,E,full_history/outside_threshold,0.9988618749999943,0.00010562499999999987,0.00053390625,0.004514843749999999,0.004943125000000003,0.011089553928850979
spatial,original,29,E,heating_windows/near_threshold,0.00022828125000000002,3.820312499999996e-05,5.5703125000000055e-05,0.00010921875000000001,0.00012671875000000001,0.11624171226405931
spatial,original,29,E,heating_windows/outside_threshold,0.2802717187499986,5.0703124999999974e-05,9.187499999999986e-05,0.0011879687500000007,0.0012291406250000004,0.010769578072565405
spatial,original,29,F,full_history/near_threshold,0.0011381249999999992,0.00019023437499999935,0.0002859375000000001,0.0005439062499999997,0.0006396093750000015,0.1129776719082226
spatial,original,29,F,full_history/outside_threshold,0.9988618749999943,0.00021867187499999957,0.0005917187500000002,0.004514843749999999,0.004887890624999993,0.013077371469437007
spatial,original,29,F,heating_windows/near_threshold,0.00022828125000000002,5.390624999999998e-05,4.390625000000002e-05,0.00010921875000000001,9.921875000000005e-05,0.13657967999730927
spatial,original,29,F,heating_windows/outside_threshold,0.2802717187499986,0.00011132812500000003,8.882812499999999e-05,0.0011879687500000007,0.0011654687499999998,0.01366608333884407
spatial,original,43,E,full_history/near_threshold,0.0011381249999999992,0.00019124999999999917,0.00028492187499999975,0.0005439062499999997,0.000637578125000001,0.11691840195495422
spatial,original,43,E,full_history/outside_threshold,0.9988618749999943,0.00022523437499999974,0.00048773437500000086,0.004514843749999999,0.004777343750000004,0.011712466788034503
spatial,original,43,E,heating_windows/near_threshold,0.00022828125000000002,4.531249999999994e-05,4.8437500000000005e-05,0.00010921875000000001,0.00011234375000000003,0.1398833020204954
spatial,original,43,E,heating_windows/outside_threshold,0.2802717187499986,9.695312500000001e-05,0.00012296874999999992,0.0011879687500000007,0.0012139843750000007,0.014892601363984386
spatial,original,43,F,full_history/near_threshold,0.0011381249999999992,0.00022265624999999911,0.0002481249999999998,0.0005439062499999997,0.0005693750000000011,0.12110871545287832
spatial,original,43,F,full_history/outside_threshold,0.9988618749999943,0.00027617187500000043,0.0005539843750000008,0.004514843749999999,0.004792656250000002,0.013232573660080689
spatial,original,43,F,heating_windows/near_threshold,0.00022828125000000002,5.9453124999999976e-05,3.921875000000001e-05,0.00010921875000000001,8.8984375e-05,0.14588974078852837
spatial,original,43,F,heating_windows/outside_threshold,0.2802717187499986,0.00011171874999999987,0.00020257812499999993,0.0011879687500000007,0.001278828125,0.01947658737658719
spatial,shorter,29,E,full_history/near_threshold,0.001256093750000001,0.00018562499999999943,0.00032492187500000023,0.0005998437500000015,0.0007391406249999999,0.10839643201101007
spatial,shorter,29,E,full_history/outside_threshold,0.9987439062499955,0.0001784374999999998,0.0004575000000000002,0.005208437500000002,0.005487499999999995,0.010277560410583492
spatial,shorter,29,E,heating_windows/near_threshold,0.0002707812500000001,5.570312499999993e-05,5.046875000000002e-05,0.00013062500000000002,0.00012539062499999996,0.11663378734729055
spatial,shorter,29,E,heating_windows/outside_threshold,0.2802292187499987,6.195312499999997e-05,9.898437500000005e-05,0.0014526562500000006,0.0014896875000000001,0.011804106705177541
spatial,shorter,29,F,full_history/near_threshold,0.001256093750000001,0.00021023437499999932,0.0003062500000000003,0.0005998437500000015,0.0006958593750000001,0.12026592068009638
spatial,shorter,29,F,full_history/outside_threshold,0.9987439062499955,0.0002625781249999995,0.0005314062500000016,0.005208437500000002,0.005477265624999997,0.012762782448085678
spatial,shorter,29,F,heating_windows/near_threshold,0.0002707812500000001,4.953124999999993e-05,6.132812500000002e-05,0.00013062500000000002,0.00014242187500000008,0.13181456533497865
spatial,shorter,29,F,heating_windows/outside_threshold,0.2802292187499987,9.523437500000005e-05,0.00016562499999999995,0.0014526562500000006,0.001523046875000001,0.017178037726596693
spatial,shorter,43,E,full_history/near_threshold,0.001256093750000001,0.00019414062499999946,0.0003178125000000008,0.0005998437500000015,0.0007235156250000001,0.10335859846491112
spatial,shorter,43,E,full_history/outside_threshold,0.9987439062499955,0.00014898437499999987,0.0004941406250000007,0.005208437500000002,0.005553593749999998,0.010241311933151009
spatial,shorter,43,E,heating_windows/near_threshold,0.0002707812500000001,5.523437499999997e-05,5.75e-05,0.00013062500000000002,0.000132890625,0.11220276344698708
spatial,shorter,43,E,heating_windows/outside_threshold,0.2802292187499987,6.0624999999999915e-05,0.00010109375,0.0014526562500000006,0.0014931250000000005,0.011000665482557166
spatial,shorter,43,F,full_history/near_threshold,0.001256093750000001,0.0002308593749999993,0.00026906250000000053,0.0005998437500000015,0.0006380468750000002,0.11560823701173255
spatial,shorter,43,F,full_history/outside_threshold,0.9987439062499955,0.00030031249999999964,0.0004625000000000012,0.005208437500000002,0.0053706249999999935,0.01261414888406352
spatial,shorter,43,F,heating_windows/near_threshold,0.0002707812500000001,7.218749999999999e-05,4.562499999999995e-05,0.00013062500000000002,0.00010406249999999988,0.16208524021430204
spatial,shorter,43,F,heating_windows/outside_threshold,0.2802292187499987,0.00018054687500000002,0.00015585937499999996,0.0014526562500000006,0.0014279687500000002,0.018571696702172857
