Reference,Candidate,Baseline,Comparison scope,Metric,Candidate error,Baseline error,Signed error difference,Difference in percentage points,Relative error reduction %
refined,original/43/E,original/43/F,historical matched method,Ephi,0.021642673019008584,0.024490240646485043,-0.0028475676274764584,,11.62735666252081
refined,original/43/E,original/43/F,historical matched method,ET,0.010380526649104068,0.010511225718101758,-0.00013069906899768925,-0.013069906899768925,1.2434236739166176
refined,original/43/E,original/43/F,historical matched method,EV,0.002383562069163395,0.004664011170049807,-0.0022804491008864116,,48.89458917959793
refined,original/43/E,original/43/F,historical matched method,EI,0.01592263658522475,0.03083367519089245,-0.014911038605667698,-1.4911038605667697,48.35958903164444
refined,original/43/E,original/43/F,historical matched method,bottom_current_NRMSE,0.015922636585227124,0.030833675190894857,-0.014911038605667733,-1.4911038605667732,48.35958903164077
refined,original/43/E,original/43/F,historical matched method,power_trace_NRMSE,0.016155682579659596,0.03190837367974663,-0.015752691100087035,-1.5752691100087035,49.36851767561511
refined,original/43/E,original/43/F,historical matched method,energy_error,0.006936765789933076,0.012561070730575535,-0.005624304940642459,-0.562430494064246,44.77568084185734
refined,original/43/E,original/43/F,historical matched method,local_joule_NRMSE,0.07909094342969357,0.1280579437250869,-0.04896700029539332,-4.896700029539332,38.238159126242905
refined,original/43/E,original/B_E,historical available-data baseline,S,0.001128359375,0.0014003125,-0.00027195312500000006,,19.420888194599424
refined,original/43/E,original/B_E,historical available-data baseline,Ephi,0.021642673019008584,0.023631555075184097,-0.001988882056175513,,8.416213193959768
refined,original/43/E,original/B_E,historical available-data baseline,ET,0.010380526649104068,0.01342231856258858,-0.0030417919134845123,-0.3041791913484512,22.662194309429974
refined,original/43/E,original/B_E,historical available-data baseline,EV,0.002383562069163395,0.0024878868372018702,-0.00010432476803847509,,4.193308412524474
refined,original/43/E,original/B_E,historical available-data baseline,EI,0.01592263658522475,0.016784115904325957,-0.0008614793191012056,-0.08614793191012056,5.132705970406025
refined,original/43/E,original/B_E,historical available-data baseline,bottom_current_NRMSE,0.015922636585227124,0.016784115904323122,-0.000861479319095998,-0.0861479319095998,5.132705970375865
refined,original/43/E,original/B_E,historical available-data baseline,power_trace_NRMSE,0.016155682579659596,0.017056146529135074,-0.0009004639494754781,-0.0900463949475478,5.279410257981297
refined,original/43/E,original/B_E,historical available-data baseline,energy_error,0.006936765789933076,0.011488281044020427,-0.004551515254087352,-0.45515152540873516,39.61876660787633
